PwrAtAnt(dBm)\rxgain,0,5,10,15,20,25,30,35,40,45,50,55,60,65,70,75,80,85,90,95,100
-86,-76.17193511,-75.57267064,-74.74880678,-76.17193511,-75.87230287,-74.74880678,-75.57267064,-73.31957782,-71.69086892,-68.02239612,-63.31957782,-59.23574225,-54.31316154,-49.72935839,-45.77566971,-40.84842189,-35.75398142,-30.94869066,-26.56499513,-21.20659215,-18.43571229
-83,-76.17193511,-75.57267064,-74.74880678,-75.87230287,-75.87230287,-74.74880678,-74.74880678,-72.10479578,-69.30812634,-65.43587367,-60.54900646,-56.40567523,-51.39260559,-46.64887974,-42.83448158,-37.87856913,-32.76361048,-28.07427725,-23.59803941,-18.32663548,-15.46505538
-80,-76.17193511,-75.57267064,-74.74880678,-75.87230287,-75.59201564,-74.23728155,-73.98904572,-70.52117086,-66.99934567,-62.57783978,-57.67310502,-53.45103143,-48.45741023,-43.73598706,-39.81258634,-34.81849883,-29.75385642,-25.15053943,-20.52585411,-15.39269696,-12.55465675
-77,-76.17193511,-75.57267064,-74.74880678,-75.57267064,-75.2923834,-73.5194238,-72.65996905,-67.98859872,-64.18087888,-59.70329864,-54.83768665,-50.5509495,-45.45612053,-40.72394871,-36.77735387,-31.88463838,-26.79031318,-22.1634727,-17.58489394,-12.39203729,-9.729358395
-74,-76.17193511,-75.57267064,-74.74880678,-75.57267064,-74.78085818,-72.44807606,-70.80145809,-65.30325436,-61.29853091,-56.72660483,-51.93446238,-47.56577473,-42.40877313,-37.80969537,-33.81871232,-28.83631879,-23.79896041,-19.17541579,-14.65030017,-9.406865338,-7.12500041
-71,-76.17193511,-75.57267064,-74.74880678,-75.2923834,-73.56781366,-70.64351542,-67.85597941,-62.42931601,-58.43496602,-53.71554964,-49.00491903,-44.59200474,-39.39149207,-34.75919756,-30.85721111,-25.83113721,-20.77643773,-16.17149197,-11.57524138,-6.511955285,-5.561104866
-68,-76.17193511,-75.57267064,-74.74880678,-74.48551739,-72.10479578,-68.47997103,-65.22415881,-59.61036616,-55.4484231,-50.68716347,-46.01996334,-41.50919946,-36.41023733,-31.79761685,-27.79231641,-22.90790763,-17.84782364,-12.89063645,-8.583742743,-4.422559925,-4.536913789
-65,-76.17193511,-75.57267064,-74.48551739,-73.29665985,-69.92995633,-66.04959054,-62.34037888,-56.678533,-52.46502968,-47.60107283,-42.94847618,-38.58992487,-33.41823386,-28.80341892,-24.82915549,-19.85713504,-14.83263757,-9.926798977,-5.591085105,-3.542341768,-2.576871346
-62,-76.17193511,-75.2923834,-74.23728155,-71.86815659,-67.47482966,-63.07172498,-59.47222351,-53.75652112,-49.44069118,-44.62912415,-39.95154036,-35.50069494,-30.41510931,-25.74569788,-21.85403212,-16.79128413,-11.76091794,-6.968039452,-3.827227146,-1.966568224,-1.681009795
-59,-75.87230287,-75.2923834,-73.75423476,-69.70929857,-64.78085818,-60.15133519,-56.42277854,-50.93374075,-46.43434381,-41.59257574,-36.93944204,-32.53328372,-27.44621048,-22.76688693,-18.79368247,-13.87906172,-8.81525373,-4.262903722,-2.48110242,-1.180607286,-1.169878506
-56,-75.87230287,-74.74880678,-73.08476686,-66.97795181,-61.9103094,-57.3133633,-53.4550597,-47.82409609,-43.46978277,-38.52742875,-33.99462543,-29.56366738,-24.41853314,-19.75557546,-15.81375927,-10.906805,-5.827860752,-2.667872505,-1.537271371,-0.882112594,-0.79181781
-53,-75.87230287,-74.50057094,-71.86815659,-64.09487716,-59.08062058,-54.27992621,-50.49357246,-44.85895714,-40.50960508,-35.54005725,-30.91365616,-26.52270373,-21.39983633,-16.79934119,-12.77782635,-7.960731868,-3.55130054,-1.600224828,-1.027406339,-0.640042453,-0.609008579
-50,-75.02909402,-73.31957782,-70.32078236,-61.18671981,-56.02253161,-51.27694207,-47.40893175,-41.86030855,-37.44888553,-32.51237788,-27.94238605,-23.47966569,-18.39541099,-13.8411966,-9.84968706,-5.365743852,-2.15722633,-1.144738379,-0.872815026,-0.557513702,-0.506718447
-47,-74.0024706,-71.72256939,-67.98187068,-58.19544471,-53.00570694,-48.31500583,-44.43992371,-38.81488722,-34.47771012,-29.56956455,-24.96780758,-20.50521575,-15.36399584,-10.8414033,-6.932308811,-3.72840643,-1.398507336,-0.964226555,-0.614527059,-0.45532205,-0.404673598
-44,-72.68968145,-69.5040819,-65.41721036,-55.1534828,-49.90313936,-45.25634216,-41.43185491,-35.87478526,-31.41626084,-26.53718897,-21.98190838,-17.50713275,-12.37999028,-7.918468903,-4.262903722,-3.075285871,-1.255460027,-0.779637427,-0.475807677,-0.394438649,-0.304110767
-41,-70.56360052,-66.841403,-62.43306155,-52.09663871,-46.91292345,-42.2566433,-38.41349103,-32.86743499,-28.4252761,-23.48378027,-18.90749083,-14.5809305,-9.485604089,-5.176326583,-2.707606953,-2.823885555,-0.820803089,-0.578977249,-0.349155825,-0.26930736,-0.249408223
-38,-68.05304031,-64.08664409,-59.62997317,-49.09962352,-43.95699432,-39.27540412,-35.38548077,-29.85088098,-25.40567926,-20.48991787,-15.96130846,-11.54260996,-6.49161101,-3.221989661,-2.070190455,-2.451555573,-0.506718447,-0.404526795,-0.284308911,-0.185146448,-0.199921218
-35,-65.38012265,-61.26117819,-56.61476316,-46.13871487,-40.97874576,-36.34184309,-32.42888548,-26.8912597,-22.40467619,-17.50454205,-12.94868715,-8.56909536,-4.194573722,-2.482807727,-1.7807036,-2.368161166,-0.394438649,-0.339137493,-0.254476572,-0.175370871,-0.180214085
-32,-62.65207996,-58.27922256,-53.62450656,-43.1927675,-37.94921996,-33.28465337,-29.40359979,-24.16818802,-19.43049697,-14.57356333,-10.01919989,-5.558795404,-3.227160369,-2.044930215,-1.58170478,-2.29237393,-0.299133206,-0.299133206,-0.180236391,-0.155769032,-0.160540462
-29,-59.75658698,-55.33603146,-50.54306129,-40.11822491,-34.95228549,-30.23636207,-26.34922278,-20.92876886,-16.3556903,-11.48394214,-6.956503552,-3.205283203,-2.870138041,-1.7807036,-1.432636088,-2.248555378,-0.279222763,-0.239526661,-0.150736971,-0.148425176,-0.140922402
-26,-56.67305859,-52.42594779,-47.62546712,-37.11838259,-31.9115554,-27.30055797,-23.31085474,-17.97558939,-13.40989705,-8.560330585,-3.999782299,-1.656263604,-2.657798125,-1.567290745,-1.375976368,-2.198743662,-0.209780347,-0.209791576,-0.136028943,-0.145472299,-0.131129963
-23,-53.69746343,-49.35975355,-44.65615736,-34.12519934,-28.99510273,-24.37571383,-20.3685632,-15.07119406,-10.48512961,-5.94529526,-2.520112593,-1.367612273,-2.534204124,-1.495703062,-1.336571543,-2.173944519,-0.16553944,-0.180236391,-0.121348552,-0.135236346,-0.121348552
-20,-50.71886394,-46.45470473,-41.74793741,-31.19474236,-26.06253525,-21.40050099,-17.49461532,-12.54119024,-7.67749025,-4.452582113,-1.651565988,-1.033374718,-2.469986972,-1.37603512,-1.286140186,-2.171467083,-0.155719126,-0.166486562,-0.111578143,-0.127701071,-0.111578143
-17,-47.67135216,-43.50214658,-38.70487841,-28.16504481,-23.06599893,-18.4126372,-14.57111038,-10.31255354,-4.971251404,-3.939731406,-1.255460027,-0.818218772,-2.406165535,-1.30958846,-1.263811076,-2.15242502,-0.14347073,-0.160607078,-0.092569163,-0.125998364,-0.092081164
-14,-44.74650818,-40.53712425,-35.78022285,-25.27612782,-20.17856378,-15.48023969,-11.60022483,-8.780330379,-3.499020264,-3.614042958,-0.872815026,-0.712933972,-2.368096564,-1.286082637,-1.247082229,-2.138726513,-0.126374195,-0.158162414,-0.077515657,-0.125020277,-0.065393215
-11,-41.73193352,-37.46288207,-32.81510507,-22.26366504,-17.40952098,-12.65207996,-8.598052294,-7.861534093,-3.011974756,-3.517018403,-0.76685277,-0.634838204,-2.342763755,-1.267674577,-1.230389166,-2.130900343,-0.102048739,-0.155719126,-0.065393215,-0.1240423,-0.053293685
